郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
杨飞飞（1923年-2012年5月21日），原名翁风请，浙江慈溪人，国家级非物质文化遗产项目“沪剧”代表性传承人。[1] 2012年5月21日，杨飞飞在静安区中心医院去世，享年89岁。	杨飞飞 原名 翁风 浙江 慈溪人 国家级 物质 文化遗产 项目 沪剧 代表性 传承 杨飞飞 静安区 中心医院 去世 享年
刘凡，男，汉族，1949年4月生，湖北黄冈人，1992年3月加入民革，1965年9月参加工作，华中科技大学管理科学与工程专业毕业，研究生学历，博士。现任全国政协常务委员，全国政协港澳台侨委员会副主任。	刘凡 汉族 月生 湖北 黄冈 加入 民革 参加 工作 华中科技大学 管理科学 工程 专业 毕业 研究生 学历 博士 现任 全国政协 常务委员 全国政协 港澳台侨 委员会 主任
阿诺德·施瓦辛格（ArnoldSchwarzenegger），1947年7月30日生于奥地利，奥林匹亚先生[1] 、健美运动员、力量举运动员、演员、导演、制片人、加州州长、政治家，拥有美国/奥地利双重国籍。[2] 施瓦辛格幼时练习健美，1967年20岁时获得了环球健美及奥林匹亚先生头衔。1968年，到美国发展后，在大学修习工商管理，并开班授课、拍摄健美录像带。[3] 1970年进入影视圈，1984年拍摄的《终结者》塑造了阿诺冷酷的银幕形象，之后接连拍摄多部动作片。[4] 2003年竞选加州州长获得成功，跨入政坛。2011年1月3日卸任，任期达7年。[5] 卸任后的施瓦辛格重返大银幕，继续接拍电影。[6] 2015年，施瓦辛格在《终结者：创世纪》中饰演苍老版终结者T-800。[7] 	阿诺德 施瓦辛格 ArnoldSchwarzenegger 生于 奥地利 奥林匹亚 先生 健美 运动员 力量 运动员 演员 导演 制片人 加州 州长 政治家 拥有 美国 奥地利 双重国籍 施瓦辛格 幼时 练习 健美 获得 环球 健美 奥林匹亚 先生 头衔 美国 发展 大学 修习 工商管理 开班 授课 拍摄 健美 录像带 进入 影视圈 拍摄 终结者 塑造 阿诺 冷酷 银幕 形象 之后 接连 拍摄 多部 动作片 竞选 加州 州长 获得成功 跨入 政坛 卸任 任期 卸任 施瓦辛格 重返 银幕 继续 拍电影 施瓦辛格 终结者 创世纪 饰演 苍老 终结者
张洪杰，1945年3月20日出生于吉林省公主岭市，中国内地男演员、编剧、导演，原是吉林省曲艺团国家一级演员。1991年，参演电视剧《三国演义》中担任导演助理。1994年，主演电影《九香》并获得了长影“小百花”优秀男配角奖。1998年，因主演电影《男妇女主任》而获得了第19届中国电影金鸡奖最佳男配角提名。[1-2] 2003年，在电视剧《台湾海峡》中饰演老兵阿五。2006年，主演农村题材电视剧《插树岭》。[3] 2009年，因主演都市情感剧《老牛家的战争》而被人们所熟识。[4] 2010年，主演电影《村官普发兴/雨后祥云》并获得第4届英国万像国际华语电影节特别表演奖。[5-6] 2012年，张洪杰在农村题材电视剧《我的土地我的家》中饰演男主角张老存。[7] 2013年，在家庭轻喜剧《老米家的婚事》中饰演男主角老米。[8] 2014年，主演近代传奇电视剧《李家大院》。[9] 	张洪杰 日出 生于 吉林省 公主岭市 中国 内地 男演员 编剧 导演 吉林省 曲艺团 国家一级 演员 参演 电视剧 三国演义 担任 导演 助理 主演 电影 九香 获得 长影 百花 优秀 配角奖 主演 电影 妇女 主任 获得 中国 电影 金鸡奖 最佳 男配角 提名 电视剧 台湾海峡 饰演 老兵 阿五 主演 农村 题材 电视剧 插树岭 主演 都市 情感 老牛 战争 人们 熟识 主演 电影 村官 普发兴 祥云 获得 英国 万像 国际 华语 电影节 特别 表演奖 张洪杰 农村 题材 电视剧 土地 饰演 男主角 张老存 家庭 轻喜剧 老米家 婚事 饰演 男主角 老米 主演 近代 传奇 电视剧 李家 大院
韩曙（1922年-2004年5月31日），山西省灵石县人，1936年3月参加中国工农红军，1937年4月加入中国共产党。曾任中国人民解放军三十八军副军长。	山西省 灵石县 参加 中国工农红军 加入 中国共产党 曾任 中国人民解放军 军长
钱永刚，1948年10月出生，浙江杭州人，教授，解放军总装备部原高级工程师、钱学森之子、吴越钱氏第34世后裔。[1] 	钱永刚 出生 浙江 杭州人 教授 解放军总装备部 高级 工程师 钱学森 之子 吴越 钱氏 后裔
张英才（CheungYingChoi，1934年9月15日－），香港歌手、电视剧演员、配音演员。60年代与演员车绮芬拍摄《遥远的路》与《伏魔乾坤剑》时有过一段情，有传他是歌手车沅沅的生父。	张英才 CheungYingChoi 香港 歌手 电视剧 演员 配音演员 年代 演员 车绮芬 拍摄 遥远 乾坤 时有 一段 有传 歌手 车沅沅 生父
蒋孝文（1935年12月14日～1989年4月14日），男，汉族，出生于苏联，浙江宁波奉化人，蒋介石长孙，蒋经国长子。1937年4月，回到中国，蒋介石为自己的长孙赐名蒋孝文。1949年随家庭一起来到台湾。1955年蒋孝文前往美国旧金山大学留学。1960年蒋孝文与徐乃锦在美国完婚，隔年女儿蒋友梅出生。1989年4月14日，因咽喉癌病逝台北荣民总医院，享年54岁。	蒋孝文 汉族 生于 苏联 浙江 宁波 奉化 蒋介石 长孙 蒋经国 长子 回到 中国 蒋介石 长孙 赐名 蒋孝文 家庭 一起 来到 台湾 蒋孝文 前往 美国 旧金山 大学 留学 蒋孝文 徐乃锦 美国 完婚 隔年 女儿 蒋友梅 出生 咽喉癌 病逝 台北 荣民 总医院 享年
甄珍，本名章家珍，原籍浙江杭州，1948年7月17日出生于北京。台湾演员。1966年，主演了黄梅调歌唱电影《天之骄女》，该片是甄珍主演的第一部片；[1] 1969年，因主演了爱情喜剧片《新娘与我》而知名；[1] 1971年，主演了古装片《缇萦》，并因此获第十七届亚洲影展最佳女主角奖；[2] 1974年，甄珍以制片人的身份监制了爱情电影《冬恋》，并参与演出；1978年，与刘家昌结婚后淡出影坛；[2] 1983年，重返影坛，参演了《风水二十年》、《圣战千秋》等影片；[3] 2013年，获第50届金马奖“终身成就奖”。[4] 	甄珍 本名 家珍 原籍 浙江 杭州 日出 生于 北京 台湾 演员 主演 黄梅调 歌唱 电影 骄女 该片 甄珍 主演 第一部 主演 爱情 喜剧片 新娘 知名 主演 古装片 第十七届 亚洲 影展 最佳 主角奖 甄珍 制片人 身份 监制 爱情 电影 冬恋 参与 演出 刘家 结婚 淡出 影坛 重返 影坛 参演 风水 二十年 圣战 千秋 影片 金马奖 终身 成就奖
阿诺德·施瓦辛格（ArnoldSchwarzenegger），1947年7月30日生于奥地利，奥林匹亚先生[1] 、健美运动员、力量举运动员、演员、导演、制片人、加州州长、政治家，拥有美国/奥地利双重国籍。[2] 施瓦辛格幼时练习健美，1967年20岁时获得了环球健美及奥林匹亚先生头衔。1968年，到美国发展后，在大学修习工商管理，并开班授课、拍摄健美录像带。[3] 1970年进入影视圈，1984年拍摄的《终结者》塑造了阿诺冷酷的银幕形象，之后接连拍摄多部动作片。[4] 2003年竞选加州州长获得成功，跨入政坛。2011年1月3日卸任，任期达7年。[5] 卸任后的施瓦辛格重返大银幕，继续接拍电影。[6] 2015年，施瓦辛格在《终结者：创世纪》中饰演苍老版终结者T-800。[7] 	阿诺德 施瓦辛格 ArnoldSchwarzenegger 生于 奥地利 奥林匹亚 先生 健美 运动员 力量 运动员 演员 导演 制片人 加州 州长 政治家 拥有 美国 奥地利 双重国籍 施瓦辛格 幼时 练习 健美 获得 环球 健美 奥林匹亚 先生 头衔 美国 发展 大学 修习 工商管理 开班 授课 拍摄 健美 录像带 进入 影视圈 拍摄 终结者 塑造 阿诺 冷酷 银幕 形象 之后 接连 拍摄 多部 动作片 竞选 加州 州长 获得成功 跨入 政坛 卸任 任期 卸任 施瓦辛格 重返 银幕 继续 拍电影 施瓦辛格 终结者 创世纪 饰演 苍老 终结者
让·雷诺（JeanReno），1948年7月30日出生于摩洛哥卡萨布兰卡，西班牙裔法国演员。让·雷诺12岁跟随父母移居法国，17岁时学习戏剧表演，1970年起从事舞台剧和电视演出，1979年初登大银幕，1988年主演吕克贝松电影《碧海蓝天》[1] ；1994年在电影《这个杀手不太冷》中饰演杀手莱昂一角[2] ，凭借该电影进军好莱坞，1995年出演电影《时空急转弯》，并连续两年获得法国凯撒奖最佳男主角提名[3] ；1996年参演好莱坞电影《碟中谍》，2000年主演电影《暗流》，2006年参演电影《达·芬奇密码》[4] 。2020年9月11日，主演电影《极寒风暴》上映[5] 。2004年让·雷诺获得法国总统希拉克颁发法国国家勋章[6] 。	雷诺 JeanReno 日出 生于 摩洛哥 卡萨布兰卡 西班牙 法国 演员 雷诺 跟随 父母 移居 法国 学习 戏剧 表演 从事 舞台剧 电视 演出 年初 登大 银幕 主演 吕克贝 电影 碧海 蓝天 电影 杀手 太冷 饰演 杀手 莱昂 一角 电影 进军 好莱坞 出演 电影 时空 急转弯 连续 两年 获得 法国 凯撒 最佳 男主角 提名 参演 好莱坞 电影 碟中谍 主演 电影 暗流 参演 电影 芬奇 密码 主演 电影 极寒 风暴 上映 雷诺 获得 法国 总统 希拉克 颁发 法国 国家 勋章
邢竹琴女，演员。1921年3月26日出生于浙江省嵊县沃基村。中国戏剧家协会会员、浙江省戏剧家协会理事、湖州市戏剧家协会名誉主席、全国“三八”红旗手、全国第三届文代会代表。她不仅是位好演员，而且还是一位自学成才的编导，创作整理过许多传统剧目，如《安邦定国志》十二本连续剧、《碧桃庵产子》、《大堂会》、《绣鸳鸯》等。又从京剧移植了《贩马记》，合作编写《燕归楼》古装悲剧。80年代参加了不少剧目的导演工作。她集演、编、导于一身，又是培植新人的好园丁，众口皆碑，受人尊敬。	竹琴 演员 日出 生于 浙江省 嵊县 沃基村 中国戏剧家协会 会员 浙江省 戏剧家 协会理事 湖州市 戏剧家 协会 名誉主席 全国 红旗手 全国 第三届 文代会 代表 演员 一位 自学成才 编导 创作 整理 传统 剧目 安邦定国 连续剧 碧桃 产子 大堂 鸳鸯 京剧 移植 贩马记 合作 编写 燕归楼 古装 悲剧 年代 参加 不少 剧目 导演 工作 集演 导于 一身 培植 新人 园丁 众口 受人 尊敬
许鹿希（1928年8月-），女，中共党员，1928年8月生于上海，1953年北京医学院（现北京大学医学部）毕业后，留校在解剖学教研室任教，先后被聘为讲师、副教授、教授等职。1950年加入中国共产党，先后出任过北京医学院解剖教研室党支部书记和基础医学系党总支书记等职务，为基础医学系党的建设做出了贡献。许鹿希是北京医科大学较早确认的博士生指导教师之一，在教育战线上，辛勤耕耘已有四十六个春秋。许鹿希是九届政协委员，北京大学博士生导师，许德珩之女，“两弹元勋”邓稼先夫人。[1] 	许鹿希 中共党员 生于 上海 北京 医学院 北京大学医学部 毕业 留校 解剖学 教研室 任教 先后 聘为 讲师 副教授 教授 加入 中国共产党 先后 出任 北京 医学院 解剖 教研室 党支部 书记 基础 医学系 党总支 书记 职务 基础 医学系 党的建设 做出 贡献 许鹿希 北京医科大学 确认 博士生 指导 教师 教育战线 辛勤耕耘 已有 四十六个 春秋 许鹿希 九届 政协委员 北京大学 博士生 导师 许德珩 之女 两弹 元勋 邓稼先 夫人
三毛（1943年3月26日－1991年1月4日），女，本名陈（懋）平，浙江定海（今浙江省舟山市定海区）人。[1-4] 。中国台湾现代作家。1943年，出生于重庆黄桷垭。1948年，迁居台湾。1967年，亲赴西班牙留学，辗转于德国、美国等。1973年，定居西属撒哈拉沙漠，和荷西结婚。1981年，返回台湾，曾在文化大学任教，1984年，辞去教职，以写作演讲为重心。1991年1月4日，去世，时年四十八岁。[5] 	三毛 本名 浙江 定海 浙江省 舟山市 定海区 中国台湾 现代 作家 生于 重庆 黄桷 迁居 台湾 亲赴 西班牙 留学 辗转 德国 美国 定居 西属 撒哈拉沙漠 荷西 结婚 返回 台湾 文化 大学 任教 辞去 教职 写作 演讲 重心 去世 时年 四十八岁
狄龙（TommyTam），本名谭富荣，1946年8月19日生于中国香港，动作演员、导演、编剧。[1] 1973年凭借复仇题材电影《刺马》获得第11届台湾电影金马奖“优秀演技特别奖”和第19届亚太电影节“优异演技奖”。[2] 1980年凭借动作片《少林英雄》获得了第17届台湾电影金马奖“最佳男主角奖提名”。1986年凭借犯罪片《英雄本色》获得了第23届台湾电影金马奖“最佳男主角奖”。1991年狄龙出演慈善片《豪门夜宴》。[3] 1994年狄龙主演功夫片《醉拳II》。[4] 2000年凭借喜剧片《流星语》获得了第19届香港电影金像奖“最佳男配角奖”。2007年获得了第12届香港电影金紫荆奖“卓越成就奖”。2015年出演电视剧《神探亨特詹》。[2] 2019年2月，参演的电视剧《乡村爱情11》在优酷播出[5] 。	狄龙 TommyTam 本名 谭富荣 生于 中国香港 动作 演员 导演 编剧 复仇 题材 电影 刺马 获得 台湾 电影 金马奖 优秀 演技 特别奖 亚太 电影节 优异 演技 动作片 少林 英雄 获得 台湾 电影 金马奖 最佳 主角奖 提名 犯罪 英雄本色 获得 台湾 电影 金马奖 最佳 主角奖 狄龙 出演 慈善 豪门 夜宴 狄龙 主演 功夫片 醉拳 II 喜剧片 流星 获得 香港电影 金像奖 最佳 配角奖 获得 香港电影 金紫荆 卓越 成就奖 出演 电视剧 神探 亨特 参演 电视剧 乡村 爱情 优酷 播出
文洁若，翻译家。1927年出生于北京，是中国翻译日文作品最多的人。日本作家川端康成、三岛由纪夫等的作品，很多都是经由她之手被引荐给中国读者。她与丈夫萧乾晚年合译爱尔兰作家詹姆斯·乔伊斯的《尤利西斯》，更是一件文坛盛事。[1] 2020年1月15日，文洁若参加了全国政协在京举行的已故知名人士的夫人2020年春节茶话会[2] 。	文洁 翻译家 年出 生于 北京 中国 翻译 日文 作品 最多 日本 作家 川端康成 三岛 由纪夫 作品 很多 经由 之手 引荐 中国 读者 丈夫 萧乾 晚年 合译 爱尔兰 作家 詹姆斯 乔伊斯 尤利西斯 更是 一件 文坛 盛事 文洁 参加 全国政协 在京举行 已故 知名人士 夫人 春节 茶话会
宋振中（1941-1949年9月6日），乳名森森，别名小萝卜头，江苏邳县（今江苏邳州市）人，为宋绮云和徐林侠的幼子[1] 。1949年9月6日，宋振中被国民党特务杀害于重庆歌乐山下的松林坡，年仅8岁，为中国年龄最小的烈士[1] 。重庆解放后，宋振中被追认为革命烈士[2] 。	宋振中 乳名 森森 别名 小萝卜头 江苏 邳县 江苏 邳州市 绮云 徐林侠 幼子 宋振中 国民党 特务 杀害 重庆 歌乐山 松林 年仅 中国 年龄 最小 烈士 重庆 解放后 宋振中 认为 革命烈士
关山（ShanKwan，1933年4月20日-2012年10月1日），原名关铁骑、关伯威，满族镶蓝旗人。辽宁沈阳人，1960年代最红的国语电影男演员之一，也是著名影星关之琳的父亲，以演文艺片最为出色。[1] 1957年，参演电影《阿Q正传》。1961年，加盟邵氏电影公司。1962年，越剧电影《红楼梦》。1967年，出演电影《烽火万里情》、《垂死天鹅》。1972年，创办关氏影业公司，制作《唐人客》等片，并自任导演。1979年，参演电视剧集《天龙诀》。1986年，出演电影《梦中人》。1991年，在电影《鬼干部》中饰演雷复鸣。1994年，出演电影《七金刚》。代表作品有：《阿Q正传》《不了情》《蓝与黑》《珊珊》《烽火万里情》等。2012年10月1日，关山在中国香港离世，享年79岁[2] 。	关山 ShanKwan 原名 铁骑 关伯威 满族 旗人 辽宁沈阳 年代 最红 国语 电影 男演员 著名 影星 关之琳 父亲 以演 文艺片 最为 出色 参演 电影 阿Q 正传 加盟 邵氏 电影 公司 越剧 电影 红楼梦 出演 电影 烽火 万里 垂死 天鹅 创办 关氏 影业公司 制作 唐人 等片 自任 导演 参演 电视剧集 天龙 出演 电影 梦中人 电影 干部 饰演 雷复鸣 出演 电影 金刚 代表作品 阿Q 正传 不了情 珊珊 烽火 万里 关山 中国香港 离世 享年
杨拯中（1929年—1949年9月6日），男，汉族，陕西蒲城人，国民党爱国将军杨虎城的儿子。1938年随杨将军入狱，1949年9月6日与其父同时被害于松林坡戴笠会客室。母亲为谢葆真。	杨拯 汉族 陕西 蒲城 国民党 爱国 将军 杨虎城 儿子 杨将军 入狱 其父 被害 松林 会客室 母亲 谢葆真
琼瑶（1938年4月20日－），本名陈喆，生于四川成都，中国当代作家、编剧、影视制作人，中国电影文学学会会员[1] 。祖籍湖南省衡阳县渣江镇，毕业于台北市立中山女中[2] 。笔名除琼瑶外，还曾用过凤凰、心如[3] 。琼瑶创作小说主要代表作有《窗外》、《潮声》、《水云间》、《一帘幽梦》、《心有千千结》、《梅花烙》、《海鸥飞处彩云飞》和《彩霞满天》等[4] 。1949年，琼瑶随父陈致平由大陆到台湾生活。其后步入职业作家行列，并相继进入电影、电视剧制作行业。琼瑶16岁时以心如为笔名发表小说《云影》，25岁时出版了第一部短篇小说集《窗外》。琼瑶创作的小说作品大多已被改编成电影或电视剧，其中较为闻名的包括《庭院深深》、《梅花三弄》系列、《还珠格格》系列[5] 等。	琼瑶 本名 陈喆 生于 四川 成都 中国 当代作家 编剧 影视制作 中国 电影 文学 学会 会员 祖籍 湖南省 衡阳县 渣江镇 毕业 台北市立 中山 女中 笔名 琼瑶 凤凰 心如 琼瑶 创作 小说 主要 代表作 窗外 潮声 水云间 一帘 幽梦 心有 千千结 梅花 海鸥飞处 彩云飞 彩霞满天 琼瑶 随父 陈致 平由 大陆 台湾 生活 其后 步入 职业 作家 行列 相继 进入 电影 电视剧 制作 行业 琼瑶 以心 如为 笔名 发表 小说 云影 出版 第一部 短篇小说 窗外 琼瑶 创作 小说作品 大多 改编 电影 电视剧 较为 闻名 包括 庭院 深深 梅花三弄 系列 还珠格格 系列
杨德昌（EdwardYang），籍贯广东梅县[1-2] ，1947年11月6日出生于中国上海，中国台湾电影导演、编剧，毕业于台湾交通大学、佛罗里达大学。[3] 1981年，执导剧情电视剧《十一个女人》，从而正式开启了他的导演生涯[4] 。1983年，执导个人首部电影《海滩的一天》获得第20届台湾电影金马奖最佳导演奖提名[5] 。1985年，执导犯罪剧情片《恐怖分子》，该片获得第40届洛迦诺国际电影节银豹奖[6] 。1991年，执导剧情片《牯岭街少年杀人事件》，该片获得第4届东京国际电影节评委会大奖[7] 。1994年，执导剧情片《独立时代》获得第31届台湾电影金马奖最佳原创剧本奖[8] 。1996年，执导剧情片《麻将》，该片入围第46届柏林国际电影节主竞赛单元[9] 。2000年，执导剧情片《一一》获得第53届戛纳国际电影节最佳导演奖[10] 。2001年，担任第54届戛纳国际电影节评委会成员[11] 。2005年，担任第58届戛纳国际电影节“短片竞赛单元和电影基金会单元”的评委会主席[12] 。2007年6月29日，杨德昌因结肠癌在美国加尼福尼亚州贝弗利山庄的家中去世，享年59岁[13] ；同年，获得第12届釜山国际电影节的“亚洲年度电影人奖”[14] 。	德昌 EdwardYang 籍贯 广东 梅县 日出 生于 中国 上海 中国台湾 电影 导演 编剧 毕业 台湾 交通 大学 佛罗里达 大学 执导 剧情 电视剧 十一个 女人 正式 开启 导演 生涯 执导 个人 首部 电影 海滩 一天 获得 台湾 电影 金马奖 最佳 导演奖 提名 执导 犯罪 剧情片 恐怖分子 该片 获得 洛迦诺 国际 电影节 银豹 执导 剧情片 牯岭 少年 杀人 事件 该片 获得 东京国际 电影节 评委会 大奖 执导 剧情片 独立 时代 获得 台湾 电影 金马奖 最佳 原创 剧本 执导 剧情片 麻将 该片 入围 柏林 国际 电影节 竞赛 单元 执导 剧情片 获得 戛纳 国际 电影节 最佳 导演奖 担任 戛纳 国际 电影节 评委会 成员 担任 戛纳 国际 电影节 短片 竞赛 单元 电影 基金会 单元 评委会 主席 德昌 结肠癌 美国 加尼福尼 亚州 贝弗利 山庄 家中 去世 享年 同年 获得 釜山 国际 电影节 亚洲 年度 电影 人奖
柯俊雄（1945年1月15日-2015年12月6日），原名柯俊良，台湾高雄市人，电影演员、编剧、导演、国民党黄复兴党部第11支部顾问。1967年，柯俊雄在影片《寂寞的十七岁》中扮演风流潇洒的表哥，获第十四届亚洲影展最佳男主角奖[1] ；1974年凭主演影片《英烈千秋》“张自忠”一角获第二十一届亚洲影展最佳男主角奖；1981年自编自导自演《我的爷爷》，1982年凭借饰演片中“林邱光”一角获巴拿马国际电影节最佳男主角奖[2] ；1999年自导自演电影《诸葛孔明》，同年12月凭借《一代枭雄曹操》夺得第三十六届金马奖“最佳男主角”[3] ；2004年参演电视剧《孽子》，饰演“阿青父亲”[4] ；2013年担任电影《你来我往》导演[5] 。2004年，柯俊雄由中国国民党提名，当选台湾地区“立法院”之“立法委员”，属新竹市选区[6] 。2007年9月18日，加入台湾农民党[7] 。2014年，任国民党黄复兴党部第11支部顾问，获黄复兴党部支持[8] 。2015年12月6日晚间，柯俊雄因肺癌逝世，享寿70岁。[9] 	柯俊雄 原名 柯俊良 台湾 高雄市 电影演员 编剧 导演 国民党 复兴党 部第 支部 顾问 柯俊雄 影片 寂寞 十七岁 扮演 风流潇洒 表哥 第十四届 亚洲 影展 最佳 主角奖 主演 影片 英烈千秋 张自忠 一角 十一届 亚洲 影展 最佳 主角奖 自编 自导自演 爷爷 饰演 片中 邱光 一角 巴拿马 国际 电影节 最佳 主角奖 自导自演 电影 诸葛孔明 同年 一代 枭雄 曹操 夺得 第三十六届 金马奖 最佳 男主角 参演 电视剧 孽子 饰演 阿青 父亲 担任 电影 你来我往 导演 柯俊雄 中国国民党 提名 当选 台湾地区 立法院 立法委员 新竹市 选区 加入 台湾 农民党 国民党 复兴党 部第 支部 顾问 获黄 复兴党 支持 晚间 柯俊雄 肺癌 逝世 享寿
许鞍华（AnnHui），1947年5月23日出生于辽宁省鞍山市，华语影视导演、编剧、监制[1] 。曾在香港大学进修英国文学及比较文学并获文学硕士学位，随后赴英深造，在伦敦电影学院攻读电影课程。[2] 1975年，许鞍华回港后为胡金铨的助手，之后在香港无线电视任编导。1977年，转往香港廉政公署拍摄宣传反贪污电视片《ICAC》[3] 。1978年转任香港电台，拍摄纪录片及短篇电视剧，其中拍摄的电影作品《狮子山下》之《来客》，成为许鞍华“越南三部曲”之首。1979年专职拍摄电影，执导的首部电影《疯劫》获得第17届台湾电影金马奖剧情片奖。1981年，继续拍摄《胡越的故事》。1982年，在海南岛拍摄《投奔怒海》，获得第2届香港电影金像奖最佳影片、最佳导演奖。1990年，拍摄半自传电影《客途秋恨》，获得香港电影金像奖最佳导演奖、台湾电影金马奖最佳导演奖。2004年，担任香港电影导演会会长。2011年，获得亚洲电影大奖终身成就奖。2006年，担任洛迦诺国际电影节评委会主席。2012年，执导的电影《桃姐》获得第68届威尼斯电影节最佳女演员奖、平等机会奖、Signis特别荣誉奖、LaNavicella奖，第48届台湾电影金马奖最佳导演奖、香港电影金像奖大满贯作品[4] 。2015年，凭借《黄金时代》获得第34届香港电影金像奖最佳导演奖[5] 。2018年3月，获得第2届马来西亚金环奖终身成就奖；同年4月，凭借《明月几时有》获得第37届香港电影金像奖最佳导演奖，这也是其第六次获得该奖项。[6] 2020年，获得第77届威尼斯国际电影节终身成就奖。[7] 	许鞍华 AnnHui 日出 生于 辽宁省 鞍山市 华语 影视 导演 编剧 监制 香港大学 进修 英国文学 比较文学 文学 硕士学位 随后 赴英 深造 伦敦 电影学院 攻读 电影 课程 许鞍华 回港 胡金 助手 之后 香港 无线电视 编导 香港廉政公署 拍摄 宣传 反贪污 电视片 ICAC 转任 香港电台 拍摄 纪录片 短篇 电视剧 拍摄 电影 作品 狮子山 来客 成为 许鞍华 越南 三部曲 专职 拍摄 电影 执导 首部 电影 疯劫 获得 台湾 电影 金马奖 剧情片 继续 拍摄 胡越 故事 海南岛 拍摄 投奔 怒海 获得 香港电影 金像奖 最佳影片 最佳 导演奖 拍摄 自传 电影 客途秋恨 获得 香港电影 金像奖 最佳 导演奖 台湾 电影 金马奖 最佳 导演奖 担任 香港电影 导演 会长 获得 亚洲 电影 大奖 终身 成就奖 担任 洛迦诺 国际 电影节 评委会 主席 执导 电影 桃姐 获得 威尼斯 电影节 最佳 女演员 平等 机会 Signis 特别 荣誉奖 LaNavicella 台湾 电影 金马奖 最佳 导演奖 香港电影 金像奖 大满贯 作品 黄金时代 获得 香港电影 金像奖 最佳 导演奖 获得 马来西亚 金环奖 终身 成就奖 同年 明月 获得 香港电影 金像奖 最佳 导演奖 第六次 获得 奖项 获得 威尼斯 国际 电影节 终身 成就奖
顾永菲，1946年出生于江苏南通，1962年考入上海戏剧学院表演系，中国内地女演员。1977年出演电影处女作《风浪》，从此开始演艺生涯[1] 。1981年在影片《但愿人长久》中第一次担任主角[2] 。1984年因出演电影《雷雨》提名第5届中国电影金鸡奖最佳女主角奖[3] 。1986年主持中央电视春节联欢晚会[4] 。1998年客串历史题材电影《荆轲刺秦王》[5] 。2002年参演电视剧《花非花》[6] 。2007年出演古装伦理剧《红粉》[7] 。2012年主演话剧《安东尼和克莉奥佩特拉》[8] 。	顾永菲 年出 生于 江苏 南通 考入 上海 戏剧学院表演系 中国 内地 女演员 出演 电影 处女作 风浪 从此 演艺 生涯 影片 但愿人长久 第一次 担任 主角 出演 电影 雷雨 提名 中国 电影 金鸡奖 最佳 主角奖 主持 中央 电视 春节 联欢晚会 客串 历史 题材 电影 荆轲 刺秦王 参演 电视剧 花非花 出演 古装 伦理 红粉 主演 话剧 安东尼 和克莉 佩特拉
秦汉，本名孙祥钟，1946年4月24日生于中国上海，祖籍四川华阳，中国台湾男演员。就读过士林中学、开平高中。1966年毕业于中影演员训练班。1977年，以《烟水寒》获巴拿马影展最佳男主角[1] ，第22届亚洲影展“最受欢迎男明星”[1] ；1978年以《汪洋中的一条船》获第十五届台湾电影金马奖最佳男主角，第二十五届亚太影展最佳男主角[1] ；1988年以《庭院深深》获法国第一届华语影视片金狮奖最佳男主角奖[2] 。演出过多部琼瑶的作品，其中包括电影以及电视剧。2014年，秦汉与曾江、雷恪生、牛犇共同参加上海东方卫视大型节目《花样爷爷》。2015年6月，秦汉应凤凰卫视《我们一起走过》栏目“重走战场”系列节目之邀，重走父亲的抗战之路，以行走的形式还原史实，向那段中华民族为保卫家园而奋战的历史致敬，横跨上海、江苏、贵州、重庆四地，分四集播出[3-4] 。秦汉与秦祥林、林凤娇和林青霞合称“二秦二林”。演艺生涯长达将近半个世纪，共演绎上百部电影作品，近30部电视剧作品。	秦汉 本名 孙祥钟 生于 中国 上海 祖籍 四川 华阳 中国台湾 男演员 就读 士林 中学 开平 高中 毕业 中影 演员 训练班 烟水 巴拿马 影展 最佳 男主角 亚洲 影展 受欢迎 男明星 汪洋 一条 第十五届 台湾 电影 金马奖 最佳 男主角 第二十五届 亚太 影展 最佳 男主角 庭院 深深 法国 第一届 华语 影视片 金狮奖 最佳 主角奖 演出 多部 琼瑶 作品 包括 电影 电视剧 秦汉 曾江 雷恪生 牛犇 共同 参加 上海东方 卫视 大型 节目 花样 爷爷 秦汉 凤凰卫视 一起 走过 栏目 重走 战场 系列 节目 之邀 重走 父亲 抗战 行走 形式 还原 史实 那段 中华民族 保卫 家园 奋战 历史 致敬 横跨 上海 江苏 贵州 重庆 四地 四集 播出 秦汉 秦祥林 林凤娇 林青霞 合称 秦二林 演艺 生涯 将近 半个世纪 演绎 百部 电影 作品 电视剧 作品
高英培（1928年-2002年2月14日），男。汉族，天津市人。农历戊辰年生，著名相声演员，相声表演艺术家。1985年被评为中国十大笑星之一。曾任北京市第八届政协委员，中国曲艺家协会会员，中国民主促进会会员。	高英培 汉族 天津市人 农历 戊辰年 著名 相声 演员 相声 表演艺术家 评为 中国 十大 笑星 曾任 北京市 第八届 政协委员 中国曲艺家协会 会员 中国民主促进会 会员
